,Rendement Annuel (%),Volatilité (%),Sharpe Ratio,Skewness,Kurtosis,Min Return (%),Max Return (%),Secteur
PM,11.911357579041667,24.69648139455033,0.4013267080722181,-0.96110962849818,13.368702749529977,-13.299255892563567,9.9534889770815,Consumer Staples
MDLZ,4.098536494670033,21.660321253785455,0.09688390444824467,-0.208388864815813,13.318629490834653,-12.137362635015753,10.688578306662674,Consumer Staples
KMB,2.635905760601487,21.019067345392614,0.030253757226810424,-0.1377757007426677,9.31087421324284,-9.247418270339983,9.262316618117032,Consumer Staples
CL,7.844786220072994,20.277602275306002,0.288238527451086,0.11422700858130475,13.565778732159156,-10.295148082480871,11.874498933477138,Consumer Staples
KHC,3.8395844466640976,26.519839793005968,0.0693663484026494,0.04318228512796384,18.922377892919744,-14.800733316671566,17.807536515472762,Consumer Staples
GIS,7.029147562079713,22.01413407195488,0.22845084642628047,-0.3774315075124708,10.449461857435969,-12.116142907437814,11.139317900890493,Consumer Staples
HSY,5.231142720337136,24.095700121444168,0.134096237256105,-1.3609596899036023,24.13380652697939,-18.065502558017222,10.298221979804186,Consumer Staples
SYY,0.5017193749164305,36.991136349078204,-0.04050377395667397,-0.6005844840623564,23.418119870639135,-23.706614644728212,17.218700077708206,Consumer Staples
KR,16.72448142712735,27.76240142714949,0.5303749196828463,0.20800557478029263,5.762085688689762,-9.098407262393803,10.980675521311529,Consumer Staples
TAP,3.5165318924847977,30.864166869135566,0.04913568212985987,-0.46878331216870234,5.558940442472595,-11.85140430217175,10.285749271163416,Consumer Staples
STZ,4.5247247771970205,27.360369040599984,0.09227670772461391,-0.5156377950267157,17.766537722865163,-16.540208615091522,15.879189070938471,Consumer Staples
EL,-18.37294131789879,39.31572329743819,-0.5181881346495866,-1.5649899420644198,14.863279045704719,-23.43942712133741,11.376520227537846,Consumer Staples
CPB,0.1918316786645328,24.152250629114864,-0.07486541726905445,-0.4198091597693145,6.793269833981844,-9.337474035348462,9.629684489078732,Consumer Staples
CHD,8.903129988959238,22.42849927158317,0.3077838559490906,-0.07802709039020873,10.566252694116193,-8.953728671406221,12.811795206929569,Consumer Staples
XOM,12.742967631750792,33.76316657800211,0.318186021057344,-0.16389942481793154,4.946711066664747,-13.03909385813625,11.94420143570122,Energy
